restaurant_name,googlemap_name,address,rating,review_count,price,category,image
엠브로돈까스 신촌점,엠브로돈까스 신촌점,서울특별시 서대문구 신촌동 명물길 26,4.0,341.0,"₩10,000~20,000",음식점,https://lh5.googleusercontent.com/p/AF1QipNZRtZLyVL69q1N5ZtxqJQliPjdumB_xh7yzt7J=w408-h306-k-no
신촌맛집 여몽(旅夢)ㅣSinchon Izakaya Restaurant Pub,신촌맛집 여몽(旅夢)ㅣSinchon Izakaya Restaurant Pub,서울특별시 서대문구 연세로5가길 25 1층 여몽,5.0,2.0,,음식점,https://lh5.googleusercontent.com/p/AF1QipPt5Pf0FTJ-Awc26mSOYQGrzLBebSnxv3xxT4Op=w408-h510-k-no
형제식당 신촌,형제식당,서울특별시 마포구 노고산동 49-47,4.2,83.0,"₩1~10,000",음식점,https://lh5.googleusercontent.com/p/AF1QipObEcd1laHRX_5mU1FfALZglAC56EeLNYfBeDg-=w408-h306-k-no
이빠네마그릴 신촌점,이빠네마그릴 신촌점,서울특별시 서대문구 연세로4길 6,4.4,490.0,"₩40,000~50,000",브라질 레스토랑,https://lh5.googleusercontent.com/p/AF1QipMIE-WAcbfToY9rd_0psmzxQYWfdTJdwrHoO89j=w519-h240-k-no
비아메렝게 신촌,비아메렝게,서울특별시 서대문구 명물길 27-18 1층,4.2,167.0,"₩10,000~20,000",멕시코 음식점,https://lh5.googleusercontent.com/p/AF1QipPMLd_04al8N-CdQHMMi6W6ZRiaTEQeoGIClfF2=w408-h271-k-no
완차이 신촌,완차이,서울특별시 서대문구 명물길 50-7,4.3,466.0,"₩10,000~20,000",중국 음식점,https://lh5.googleusercontent.com/p/AF1QipNrrMTXIUzDkbIBire5bvsC8iIRHTk5Fioq35pC=w408-h306-k-no
복성각 신촌,복성각,서울특별시 서대문구 명물1길 24,4.0,801.0,"₩10,000~20,000",중국 음식점,https://lh5.googleusercontent.com/p/AF1QipMfdAKDAwvHV9W1dcs9bQncSbRI1Vl-DA2iTuM=w408-h306-k-no
나주식당 신촌,나주식당,연세 로 10-1 KR,4.0,23.0,"₩1~20,000",음식점,https://lh5.googleusercontent.com/p/AF1QipOoft4OouE9pUz7wGigjt-2VExcujEem2fNiLE=w408-h306-k-no
한림돈가 신촌,한림돈가,서울특별시 서대문구 연세로7안길 16-4,4.4,257.0,"₩20,000~30,000",한식 고기구이 레스토랑,https://lh5.googleusercontent.com/p/AF1QipOLFxPGB8UJdcU9ZQ0zhPH_vn01Y1Zcy0biFzkS=w408-h544-k-no
담산 신촌본점,담산 신촌본점,서울특별시 서대문구 연세로5다길 5,4.5,382.0,"₩10,000~20,000",한식당,https://lh5.googleusercontent.com/p/AF1QipNWsrMAn_Irwgkv6SAv-VIp5Gp0qPrEiEhkc8dP=w408-h265-k-no
진돈부리 신촌,진돈부리,서울특별시 서대문구 신촌로 149 자이엘라 B104,4.7,18.0,"₩10,000~20,000",일본 음식점,https://lh5.googleusercontent.com/p/AF1QipPZo5wc0jFcqEfsaXotL9lt7xY_pU9IEcO7tDKs=w408-h306-k-no
정정아식당 신촌,정정아식당,창천동 57-6번지 2층 서대문구 서울특별시 KR,4.0,23.0,"₩10,000~20,000",음식점,https://lh5.googleusercontent.com/p/AF1QipPJjji4zCF2PCk5v1VTeK-tgEUqggv01JNPa4aM=w408-h306-k-no
호밀밭 신촌,호밀밭,서울특별시 서대문구 창천동 4-77,4.4,671.0,"₩1~10,000",디저트 전문점,https://lh5.googleusercontent.com/p/AF1QipNthytw2ueUU0xm4ZaEKS3h7_0t2SQq3mfYUlkF=w408-h458-k-no
히노키공방 신촌,히노키공방,서울특별시 마포구 신촌로14안길 3,4.4,255.0,"₩10,000~20,000",일본 음식점,https://lh5.googleusercontent.com/p/AF1QipPyaDgZwLTfw9owAVF8Xvwr7BjZ69mm8RLCP5ri=w408-h306-k-no
